2024-12-25 04.14.44; Inicio de Ejecución BotUpdateCanal
2024-12-25 04:15:12; El iturriapp no esta pidiendo cambio de contraseña
2024-12-25 04:15:43; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-12-25 04:15:43; Procesando las Dams e ingresar a la web sunat
2024-12-25 04:16:41; Dam 23100 aun no tiene CANAL
2024-12-25 04:16:58; Dam 3329 aun no tiene CANAL
2024-12-25 04:17:16; Dam 52259 aun no tiene CANAL
2024-12-25 04:17:33; Dam 52255 aun no tiene CANAL
2024-12-25 04:18:48; Dam 34456 aun no tiene CANAL
2024-12-25 04:19:06; Dam 34459 aun no tiene CANAL
2024-12-25 04:19:23; Dam 52256 aun no tiene CANAL
2024-12-25 04:19:41; Dam 53417 aun no tiene CANAL
2024-12-25 04:19:58; Dam 34676 aun no tiene CANAL
2024-12-25 04:21:12; Dam 23106 aun no tiene CANAL
2024-12-25 04:21:30; Dam 23103 aun no tiene CANAL
2024-12-25 04:21:48; Dam 23104 aun no tiene CANAL
2024-12-25 04:22:05; Dam 22810 aun no tiene CANAL
2024-12-25 04:22:23; Dam 35161 aun no tiene CANAL
2024-12-25 04:24:34; Dam 35152 aun no tiene CANAL
2024-12-25 04:24:52; Dam 35045 aun no tiene CANAL
2024-12-25 04:25:09; Dam 23192 aun no tiene CANAL
2024-12-25 04:25:27; Dam 35147 aun no tiene CANAL
2024-12-25 04:25:45; Dam 23190 aun no tiene CANAL
2024-12-25 04:26:02; Dam 23271 aun no tiene CANAL
2024-12-25 04:26:20; Dam 23362 aun no tiene CANAL
2024-12-25 04:27:34; Dam 52845 aun no tiene CANAL
2024-12-25 04:27:52; Dam 53025 aun no tiene CANAL
2024-12-25 04:28:09; Dam 53557 aun no tiene CANAL
2024-12-25 04:28:10; 51839 Ya esta registrado en la DB
2024-12-25 04:28:18; se cerro la pagina de SUNAT con éxito
2024-12-25 04:28:53; El iturriapp no esta pidiendo cambio de contraseña
2024-12-25 04:32:26; No salió la alerta de guardar cambios del BK PER8385297A
2024-12-25 04:33:18; No salió la alerta de guardar cambios del BK PER8385298A
2024-12-25 04:34:10; No salió la alerta de guardar cambios del BK 248066640
2024-12-25 04:34:29; se encontró el archivo reporte en C:/BOT-LIQUIDACION/BotUpdateCanal/Recursos/ExcelconDatos
2024-12-25 04:34:42; Se envió el correo con éxito
2024-12-25 04:34:47;  Archivo REPORTE_RCE_ENVIADOS 25-11-2024 al 25-12-2024 (1)_20241225_0434.xlsx se ha validado como completado y se
ha movido a la ruta  C:/BOT-LIQUIDACION/BotUpdateCanal/Recursos/Archivos Procesados
2024-12-25 04:34:47; Fin del robot  BotUpdateCanal
