2024-12-25 15.14.35; Inicio de Ejecución BotUpdateCanal
2024-12-25 15:15:03; El iturriapp no esta pidiendo cambio de contraseña
2024-12-25 15:15:34; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-12-25 15:15:34; Procesando las Dams e ingresar a la web sunat
2024-12-25 15:16:15; 23361 Ya esta registrado en la DB
2024-12-25 15:16:31; Dam 23271 aun no tiene CANAL
2024-12-25 15:16:49; Dam 23192 aun no tiene CANAL
2024-12-25 15:17:06; Dam 35152 aun no tiene CANAL
2024-12-25 15:17:24; Dam 23100 aun no tiene CANAL
2024-12-25 15:17:41; Dam 23104 aun no tiene CANAL
2024-12-25 15:17:58; Dam 23103 aun no tiene CANAL
2024-12-25 15:18:16; Dam 23106 aun no tiene CANAL
2024-12-25 15:18:33; Dam 34459 aun no tiene CANAL
2024-12-25 15:18:51; Dam 34456 aun no tiene CANAL
2024-12-25 15:19:08; Dam 3329 aun no tiene CANAL
2024-12-25 15:20:22; Dam 22810 aun no tiene CANAL
2024-12-25 15:20:23; 51839 Ya esta registrado en la DB
2024-12-25 15:20:40; Dam 53025 aun no tiene CANAL
2024-12-25 15:20:48; se cerro la pagina de SUNAT con éxito
2024-12-25 15:21:23; El iturriapp no esta pidiendo cambio de contraseña
2024-12-25 15:22:51; se encontró el archivo reporte en C:/BOT-LIQUIDACION/BotUpdateCanal/Recursos/ExcelconDatos
2024-12-25 15:22:57; Se envió el correo con éxito
2024-12-25 15:23:02;  Archivo REPORTE_RCE_ENVIADOS 25-11-2024 al 25-12-2024 (1)_20241225_1522.xlsx se ha validado como completado y se
ha movido a la ruta  C:/BOT-LIQUIDACION/BotUpdateCanal/Recursos/Archivos Procesados
2024-12-25 15:23:02; Fin del robot  BotUpdateCanal
