2024-12-27 06.14.36; Inicio de Ejecución BotUpdateCanal
2024-12-27 06:15:05; El iturriapp no esta pidiendo cambio de contraseña
2024-12-27 06:15:35; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-12-27 06:15:36; Procesando las Dams e ingresar a la web sunat
2024-12-27 06:16:16; 23361 Ya esta registrado en la DB
2024-12-27 06:16:16; 35145 Ya esta registrado en la DB
2024-12-27 06:16:33; Dam 23192 aun no tiene CANAL
2024-12-27 06:16:34; 23100 Ya esta registrado en la DB
2024-12-27 06:16:34; 23104 Ya esta registrado en la DB
2024-12-27 06:16:34; 23103 Ya esta registrado en la DB
2024-12-27 06:16:34; 23106 Ya esta registrado en la DB
2024-12-27 06:16:34; 34459 Ya esta registrado en la DB
2024-12-27 06:16:34; 34456 Ya esta registrado en la DB
2024-12-27 06:16:51; Dam 3329 aun no tiene CANAL
2024-12-27 06:16:52; 53025 Ya esta registrado en la DB
2024-12-27 06:16:59; se cerro la pagina de SUNAT con éxito
2024-12-27 06:17:05; No se pudo encontrar datos a procesar
