2024-09-23 18.00.40; Inicio de Ejecución BotUpdateCanal
2024-09-23 18:01:10; El iturriapp no esta pidiendo cambio de contraseña
2024-09-23 18:01:40; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-09-23 18:01:42; Procesando las Dams e ingresar a la web sunat
2024-09-23 18:02:58; Dam 12308 aun no tiene CANAL
2024-09-23 18:03:10; Dam 12307 aun no tiene CANAL
2024-09-23 18:03:22; Dam 12303 aun no tiene CANAL
2024-09-23 18:03:34; Dam 23571 aun no tiene CANAL
2024-09-23 18:03:46; Dam 12177 aun no tiene CANAL
2024-09-23 18:03:58; Dam 12230 aun no tiene CANAL
2024-09-23 18:04:10; Dam 12159 aun no tiene CANAL
2024-09-23 18:04:21; Dam 12161 aun no tiene CANAL
2024-09-23 18:04:33; Dam 12209 aun no tiene CANAL
2024-09-23 18:04:45; Dam 12210 aun no tiene CANAL
2024-09-23 18:04:57; Dam 12217 aun no tiene CANAL
2024-09-23 18:05:09; Dam 12214 aun no tiene CANAL
2024-09-23 18:05:21; Dam 23446 aun no tiene CANAL
2024-09-23 18:05:33; Dam 23559 aun no tiene CANAL
2024-09-23 18:06:28; Dam 12155 aun no tiene CANAL
2024-09-23 18:06:40; Dam 12219 aun no tiene CANAL
2024-09-23 18:06:51; Dam 12220 aun no tiene CANAL
2024-09-23 18:07:03; Dam 12259 aun no tiene CANAL
2024-09-23 18:07:15; Dam 12260 aun no tiene CANAL
2024-09-23 18:07:27; Dam 12050 aun no tiene CANAL
2024-09-23 18:07:40; Dam 12053 aun no tiene CANAL
2024-09-23 18:07:52; Dam 12054 aun no tiene CANAL
2024-09-23 18:08:04; Dam 12055 aun no tiene CANAL
2024-09-23 18:08:16; Dam 11938 aun no tiene CANAL
2024-09-23 18:08:28; Dam 11934 aun no tiene CANAL
2024-09-23 18:08:40; Dam 23184 aun no tiene CANAL
2024-09-23 18:08:52; Dam 23182 aun no tiene CANAL
2024-09-23 18:09:04; Dam 2693 aun no tiene CANAL
2024-09-23 18:09:16; Dam 11891 aun no tiene CANAL
2024-09-23 18:09:28; Dam 11888 aun no tiene CANAL
2024-09-23 18:09:36; se cerro la pagina de SUNAT con éxito
2024-09-23 18:10:08; El iturriapp no esta pidiendo cambio de contraseña
2024-09-23 18:11:23; se encontró el archivo reporte en C:/BOT-LIQUIDACION/BotUpdateCanal/Recursos/ExcelconDatos
2024-09-23 18:11:31; Se envió el correo con éxito
2024-09-23 18:11:38;  Archivo REPORTE_RCE_ENVIADOS 18-09-2024 al 23-09-2024_20240923_1811.xlsx se ha validado como completado y se
ha movido a la ruta  C:/BOT-LIQUIDACION/BotUpdateCanal/Recursos/Archivos Procesados
2024-09-23 18:11:38; Fin del robot  BotUpdateCanal
