2024-12-24 09.14.38; Inicio de Ejecución BotUpdateCanal
2024-12-24 09:15:06; El iturriapp no esta pidiendo cambio de contraseña
2024-12-24 09:15:36; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-12-24 09:15:37; Procesando las Dams e ingresar a la web sunat
2024-12-24 09:16:35; Dam 23100 aun no tiene CANAL
2024-12-24 09:16:53; Dam 3329 aun no tiene CANAL
2024-12-24 09:17:11; Dam 52259 aun no tiene CANAL
2024-12-24 09:17:28; Dam 52255 aun no tiene CANAL
2024-12-24 09:17:46; Dam 52258 aun no tiene CANAL
2024-12-24 09:18:04; Dam 34456 aun no tiene CANAL
2024-12-24 09:18:21; Dam 34459 aun no tiene CANAL
2024-12-24 09:18:39; Dam 52256 aun no tiene CANAL
2024-12-24 09:18:56; Dam 53417 aun no tiene CANAL
2024-12-24 09:19:14; Dam 23125 aun no tiene CANAL
2024-12-24 09:19:31; Dam 23124 aun no tiene CANAL
2024-12-24 09:19:49; Dam 34802 aun no tiene CANAL
2024-12-24 09:20:06; Dam 9204 aun no tiene CANAL
2024-12-24 09:20:24; Dam 23106 aun no tiene CANAL
2024-12-24 09:20:42; Dam 23104 aun no tiene CANAL
2024-12-24 09:20:59; Dam 52845 aun no tiene CANAL
2024-12-24 09:21:17; Dam 3769 aun no tiene CANAL
2024-12-24 09:21:34; Dam 9206 aun no tiene CANAL
2024-12-24 09:21:52; Dam 23200 aun no tiene CANAL
2024-12-24 09:22:09; Dam 35042 aun no tiene CANAL
2024-12-24 09:22:27; Dam 35043 aun no tiene CANAL
2024-12-24 09:22:45; Dam 23207 aun no tiene CANAL
2024-12-24 09:23:02; Dam 23201 aun no tiene CANAL
2024-12-24 09:23:20; Dam 23205 aun no tiene CANAL
2024-12-24 09:23:37; Dam 9207 aun no tiene CANAL
2024-12-24 09:23:55; Dam 23204 aun no tiene CANAL
2024-12-24 09:24:13; Dam 34666 aun no tiene CANAL
2024-12-24 09:25:27; Dam 23202 aun no tiene CANAL
2024-12-24 09:25:45; Dam 9167 aun no tiene CANAL
2024-12-24 09:26:02; Dam 53266 aun no tiene CANAL
2024-12-24 09:26:20; Dam 9168 aun no tiene CANAL
2024-12-24 09:26:37; Dam 23178 aun no tiene CANAL
2024-12-24 09:26:55; Dam 53557 aun no tiene CANAL
2024-12-24 09:26:56; 51839 Ya esta registrado en la DB
2024-12-24 09:27:04; se cerro la pagina de SUNAT con éxito
2024-12-24 09:27:39; El iturriapp no esta pidiendo cambio de contraseña
2024-12-24 09:29:07; se encontró el archivo reporte en C:/BOT-LIQUIDACION/BotUpdateCanal/Recursos/ExcelconDatos
2024-12-24 09:29:14; Se envió el correo con éxito
2024-12-24 09:29:19;  Archivo REPORTE_RCE_ENVIADOS 24-11-2024 al 24-12-2024_20241224_0929.xlsx se ha validado como completado y se
ha movido a la ruta  C:/BOT-LIQUIDACION/BotUpdateCanal/Recursos/Archivos Procesados
2024-12-24 09:29:19; Fin del robot  BotUpdateCanal
