2024-12-21 12.59.00; Inicio de Ejecución BotUpdateCanal
2024-12-21 12:59:35; El iturriapp no esta pidiendo cambio de contraseña
2024-12-21 13:00:05; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-12-21 13:00:06; Procesando las Dams e ingresar a la web sunat
2024-12-21 13:00:46; 51880 Ya esta registrado en la DB
2024-12-21 13:00:46; 51887 Ya esta registrado en la DB
2024-12-21 13:00:46; 51881 Ya esta registrado en la DB
2024-12-21 13:00:47; 51892 Ya esta registrado en la DB
2024-12-21 13:00:52; Datos aun Incorrectos o los parámetros son incorrectos 51891
2024-12-21 13:00:52; 22902 Ya esta registrado en la DB
2024-12-21 13:00:52; 33685 Ya esta registrado en la DB
2024-12-21 13:00:53; 9040 Ya esta registrado en la DB
2024-12-21 13:00:53; 9039 Ya esta registrado en la DB
2024-12-21 13:00:53; 9037 Ya esta registrado en la DB
2024-12-21 13:00:53; 33744 Ya esta registrado en la DB
2024-12-21 13:00:53; 22831 Ya esta registrado en la DB
2024-12-21 13:00:53; 22829 Ya esta registrado en la DB
2024-12-21 13:00:53; 33388 Ya esta registrado en la DB
2024-12-21 13:00:53; 33265 Ya esta registrado en la DB
2024-12-21 13:00:53; 33264 Ya esta registrado en la DB
2024-12-21 13:00:59; Datos aun Incorrectos o los parámetros son incorrectos 3716
2024-12-21 13:00:59; 22718 Ya esta registrado en la DB
2024-12-21 13:00:59; 22126 Ya esta registrado en la DB
2024-12-21 13:03:07; 51890 Ya esta registrado en la DB
2024-12-21 13:03:07; 22949 Ya esta registrado en la DB
2024-12-21 13:03:07; 22905 Ya esta registrado en la DB
2024-12-21 13:03:08; 22900 Ya esta registrado en la DB
2024-12-21 13:03:08; 33922 Ya esta registrado en la DB
2024-12-21 13:03:08; 33920 Ya esta registrado en la DB
2024-12-21 13:03:08; 583 Ya esta registrado en la DB
2024-12-21 13:03:08; 3330 Ya esta registrado en la DB
2024-12-21 13:03:08; 22904 Ya esta registrado en la DB
2024-12-21 13:03:08; 584 Ya esta registrado en la DB
2024-12-21 13:03:13; Datos aun Incorrectos o los parámetros son incorrectos 22842
2024-12-21 13:03:14; 22841 Ya esta registrado en la DB
2024-12-21 13:03:14; 51277 Ya esta registrado en la DB
2024-12-21 13:03:14; 51849 Ya esta registrado en la DB
