2024-10-02 13.24.11; Inicio de Ejecución BotUpdateCanal
2024-10-02 13:24:40; El iturriapp no esta pidiendo cambio de contraseña
2024-10-02 13:25:10; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-10-02 13:25:12; Procesando las Dams e ingresar a la web sunat
2024-10-02 13:26:12; Dam 104167 aun no tiene CANAL
2024-10-02 13:26:29; Dam 2626 aun no tiene CANAL
2024-10-02 13:26:45; Dam 13156 aun no tiene CANAL
2024-10-02 13:27:02; Dam 13119 aun no tiene CANAL
2024-10-02 13:27:19; Dam 13127 aun no tiene CANAL
2024-10-02 13:27:42; Dam 13125 aun no tiene CANAL
2024-10-02 13:27:59; Dam 13144 aun no tiene CANAL
2024-10-02 13:28:16; Dam 13147 aun no tiene CANAL
2024-10-02 13:28:32; Dam 13148 aun no tiene CANAL
2024-10-02 13:28:49; Dam 13149 aun no tiene CANAL
2024-10-02 13:29:06; Dam 13150 aun no tiene CANAL
2024-10-02 13:29:23; Dam 13145 aun no tiene CANAL
2024-10-02 13:29:40; Dam 13146 aun no tiene CANAL
2024-10-02 13:29:57; Dam 13082 aun no tiene CANAL
2024-10-02 13:31:22; Dam 13085 aun no tiene CANAL
2024-10-02 13:31:39; Dam 13084 aun no tiene CANAL
2024-10-02 13:31:56; Dam 13083 aun no tiene CANAL
2024-10-02 13:32:47; Dam 13093 aun no tiene CANAL
2024-10-02 13:33:04; Dam 13091 aun no tiene CANAL
2024-10-02 13:33:21; Dam 13081 aun no tiene CANAL
2024-10-02 13:33:38; Dam 12908 aun no tiene CANAL
2024-10-02 13:33:55; Dam 13043 aun no tiene CANAL
2024-10-02 13:34:12; Dam 12907 aun no tiene CANAL
2024-10-02 13:34:29; Dam 12906 aun no tiene CANAL
2024-10-02 13:34:46; Dam 12905 aun no tiene CANAL
2024-10-02 13:35:03; Dam 103926 aun no tiene CANAL
2024-10-02 13:35:20; Dam 12926 aun no tiene CANAL
2024-10-02 13:35:37; Dam 12887 aun no tiene CANAL
2024-10-02 13:35:54; Dam 12888 aun no tiene CANAL
2024-10-02 13:36:11; Dam 12894 aun no tiene CANAL
2024-10-02 13:36:28; Dam 12874 aun no tiene CANAL
2024-10-02 13:37:19; Dam 12624 aun no tiene CANAL
2024-10-02 13:37:36; Dam 102896 aun no tiene CANAL
2024-10-02 13:37:53; Dam 102897 aun no tiene CANAL
2024-10-02 13:38:10; Dam 12623 aun no tiene CANAL
2024-10-02 13:38:11; 98088 Ya esta registrado en la DB
2024-10-02 13:38:19; se cerro la pagina de SUNAT con éxito
2024-10-02 13:38:52; El iturriapp no esta pidiendo cambio de contraseña
2024-10-02 13:39:27; No salió la alerta de guardar cambios del BK 244996898.0
2024-10-02 13:41:20; se encontró el archivo reporte en C:/BOT-LIQUIDACION/BotUpdateCanal/Recursos/ExcelconDatos
2024-10-02 13:41:28; Se envió el correo con éxito
2024-10-02 13:41:34;  Archivo REPORTE_RCE_ENVIADOS 02-09-2024 al 02-10-2024_20241002_1341.xlsx se ha validado como completado y se
ha movido a la ruta  C:/BOT-LIQUIDACION/BotUpdateCanal/Recursos/Archivos Procesados
2024-10-02 13:41:35; Fin del robot  BotUpdateCanal
