2024-12-25 20.14.45; Inicio de Ejecución BotUpdateCanal
2024-12-25 20:15:13; El iturriapp no esta pidiendo cambio de contraseña
2024-12-25 20:15:44; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-12-25 20:15:44; Procesando las Dams e ingresar a la web sunat
2024-12-25 20:16:26; 23361 Ya esta registrado en la DB
2024-12-25 20:16:42; Dam 35145 aun no tiene CANAL
2024-12-25 20:16:59; Dam 23192 aun no tiene CANAL
2024-12-25 20:17:17; Dam 23100 aun no tiene CANAL
2024-12-25 20:17:34; Dam 23104 aun no tiene CANAL
2024-12-25 20:17:51; Dam 23103 aun no tiene CANAL
2024-12-25 20:18:09; Dam 23106 aun no tiene CANAL
2024-12-25 20:18:26; Dam 34459 aun no tiene CANAL
2024-12-25 20:18:44; Dam 34456 aun no tiene CANAL
2024-12-25 20:19:01; Dam 3329 aun no tiene CANAL
2024-12-25 20:19:02; 51839 Ya esta registrado en la DB
2024-12-25 20:19:19; Dam 53025 aun no tiene CANAL
2024-12-25 20:19:27; se cerro la pagina de SUNAT con éxito
2024-12-25 20:19:33; No se pudo encontrar datos a procesar
