2024-12-26 09.14.46; Inicio de Ejecución BotUpdateCanal
2024-12-26 09:15:14; El iturriapp no esta pidiendo cambio de contraseña
2024-12-26 09:15:45; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-12-26 09:15:45; Procesando las Dams e ingresar a la web sunat
2024-12-26 09:16:44; Dam 23100 aun no tiene CANAL
2024-12-26 09:17:02; Dam 3329 aun no tiene CANAL
2024-12-26 09:17:03; 52259 Ya esta registrado en la DB
2024-12-26 09:17:03; 34456 Ya esta registrado en la DB
2024-12-26 09:17:03; 34459 Ya esta registrado en la DB
2024-12-26 09:17:03; 23077 Ya esta registrado en la DB
2024-12-26 09:17:03; 34676 Ya esta registrado en la DB
2024-12-26 09:17:03; 9204 Ya esta registrado en la DB
2024-12-26 09:17:20; Dam 23106 aun no tiene CANAL
2024-12-26 09:17:43; Dam 23103 aun no tiene CANAL
2024-12-26 09:18:00; Dam 23104 aun no tiene CANAL
2024-12-26 09:18:01; 22810 Ya esta registrado en la DB
2024-12-26 09:18:01; 35161 Ya esta registrado en la DB
2024-12-26 09:18:01; 9207 Ya esta registrado en la DB
2024-12-26 09:18:01; 9206 Ya esta registrado en la DB
2024-12-26 09:18:01; 35152 Ya esta registrado en la DB
2024-12-26 09:18:22; Dam 23192 aun no tiene CANAL
2024-12-26 09:18:23; 23190 Ya esta registrado en la DB
2024-12-26 09:18:23; 23271 Ya esta registrado en la DB
2024-12-26 09:18:23; 23361 Ya esta registrado en la DB
2024-12-26 09:18:23; 52845 Ya esta registrado en la DB
2024-12-26 09:18:40; Dam 53025 aun no tiene CANAL
2024-12-26 09:18:41; 53557 Ya esta registrado en la DB
2024-12-26 09:18:41; 51839 Ya esta registrado en la DB
2024-12-26 09:18:49; se cerro la pagina de SUNAT con éxito
2024-12-26 09:18:55; No se pudo encontrar datos a procesar
