2024-11-02 12.13.47; Inicio de Ejecución BotUpdateCanal
2024-11-02 12:14:16; El iturriapp no esta pidiendo cambio de contraseña
2024-11-02 12:14:46; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-11-02 12:14:49; Procesando las Dams e ingresar a la web sunat
2024-11-02 12:15:48; Dam 16912 aun no tiene CANAL
2024-11-02 12:16:06; Dam 17105 aun no tiene CANAL
2024-11-02 12:16:23; Dam 17108 aun no tiene CANAL
2024-11-02 12:21:52; Dam 16943 aun no tiene CANAL
2024-11-02 12:22:10; Dam 32696 aun no tiene CANAL
2024-11-02 12:22:27; Dam 32695 aun no tiene CANAL
2024-11-02 12:22:44; Dam 115654 aun no tiene CANAL
2024-11-02 12:23:01; Dam 3003 aun no tiene CANAL
2024-11-02 12:23:19; Dam 3002 aun no tiene CANAL
