2024-12-27 08.14.42; Inicio de Ejecución BotUpdateCanal
2024-12-27 08:15:10; El iturriapp no esta pidiendo cambio de contraseña
2024-12-27 08:15:40; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-12-27 08:15:41; Procesando las Dams e ingresar a la web sunat
2024-12-27 08:16:22; 23361 Ya esta registrado en la DB
2024-12-27 08:16:22; 35145 Ya esta registrado en la DB
2024-12-27 08:16:38; Dam 23192 aun no tiene CANAL
2024-12-27 08:16:39; 23100 Ya esta registrado en la DB
2024-12-27 08:16:39; 23104 Ya esta registrado en la DB
2024-12-27 08:16:39; 23103 Ya esta registrado en la DB
2024-12-27 08:16:40; 23106 Ya esta registrado en la DB
2024-12-27 08:16:40; 34459 Ya esta registrado en la DB
2024-12-27 08:16:40; 34456 Ya esta registrado en la DB
2024-12-27 08:16:56; Dam 3329 aun no tiene CANAL
2024-12-27 08:16:57; 53025 Ya esta registrado en la DB
2024-12-27 08:17:05; se cerro la pagina de SUNAT con éxito
2024-12-27 08:17:11; No se pudo encontrar datos a procesar
