2024-10-19 10.58.13; Inicio de Ejecución BotUpdateCanal
2024-10-19 10:58:43; El iturriapp no esta pidiendo cambio de contraseña
2024-10-19 10:59:13; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-10-19 10:59:15; Procesando las Dams e ingresar a la web sunat
2024-10-19 11:00:07; Datos aun Incorrectos o los parámetros son incorrectos 2869
2024-10-19 11:00:24; Dam 15229 aun no tiene CANAL
2024-10-19 11:00:41; Dam 15152 aun no tiene CANAL
2024-10-19 11:00:59; Dam 15151 aun no tiene CANAL
2024-10-19 11:01:16; Dam 15150 aun no tiene CANAL
2024-10-19 11:01:33; Dam 15149 aun no tiene CANAL
2024-10-19 11:01:51; Dam 15148 aun no tiene CANAL
2024-10-19 11:02:08; Dam 15147 aun no tiene CANAL
2024-10-19 11:02:26; Dam 15146 aun no tiene CANAL
2024-10-19 11:02:43; Dam 15144 aun no tiene CANAL
2024-10-19 11:03:01; Dam 15154 aun no tiene CANAL
2024-10-19 11:03:25; Dam 15153 aun no tiene CANAL
2024-10-19 11:03:32; Datos aun Incorrectos o los parámetros son incorrectos 2915
2024-10-19 11:03:49; Dam 2912 aun no tiene CANAL
2024-10-19 11:04:06; Dam 2911 aun no tiene CANAL
2024-10-19 11:04:24; Dam 15118 aun no tiene CANAL
2024-10-19 11:04:41; Dam 15119 aun no tiene CANAL
2024-10-19 11:04:59; Dam 15121 aun no tiene CANAL
2024-10-19 11:05:16; Dam 15120 aun no tiene CANAL
2024-10-19 11:06:44; Dam 110456 aun no tiene CANAL
2024-10-19 11:07:01; Dam 110066 aun no tiene CANAL
2024-10-19 11:08:29; Dam 15177 aun no tiene CANAL
2024-10-19 11:08:47; Dam 25781 aun no tiene CANAL
2024-10-19 11:09:05; Dam 15014 aun no tiene CANAL
2024-10-19 11:09:22; Dam 15015 aun no tiene CANAL
2024-10-19 11:09:39; Dam 15040 aun no tiene CANAL
2024-10-19 11:09:57; Dam 15038 aun no tiene CANAL
2024-10-19 11:10:14; Dam 15037 aun no tiene CANAL
2024-10-19 11:10:32; Dam 15036 aun no tiene CANAL
2024-10-19 11:10:49; Dam 15034 aun no tiene CANAL
2024-10-19 11:11:06; Dam 15035 aun no tiene CANAL
2024-10-19 11:11:24; Dam 15033 aun no tiene CANAL
2024-10-19 11:13:21; Dam 15163 aun no tiene CANAL
2024-10-19 11:13:39; Dam 15160 aun no tiene CANAL
2024-10-19 11:13:57; Dam 29143 aun no tiene CANAL
2024-10-19 11:14:16; Dam 29710 aun no tiene CANAL
2024-10-19 11:14:35; Dam 29141 aun no tiene CANAL
2024-10-19 11:14:55; Dam 29140 aun no tiene CANAL
2024-10-19 11:15:12; Dam 29142 aun no tiene CANAL
2024-10-19 11:15:30; Dam 15088 aun no tiene CANAL
2024-10-19 11:15:47; Dam 29073 aun no tiene CANAL
