2024-12-26 21.14.42; Inicio de Ejecución BotUpdateCanal
2024-12-26 21:15:10; El iturriapp no esta pidiendo cambio de contraseña
2024-12-26 21:15:41; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-12-26 21:15:41; Procesando las Dams e ingresar a la web sunat
2024-12-26 21:16:22; 23361 Ya esta registrado en la DB
2024-12-26 21:16:23; 23271 Ya esta registrado en la DB
2024-12-26 21:16:23; 35145 Ya esta registrado en la DB
2024-12-26 21:16:39; Dam 23192 aun no tiene CANAL
2024-12-26 21:16:40; 35152 Ya esta registrado en la DB
2024-12-26 21:16:40; 23100 Ya esta registrado en la DB
2024-12-26 21:16:57; Dam 23104 aun no tiene CANAL
2024-12-26 21:17:15; Dam 23103 aun no tiene CANAL
2024-12-26 21:17:16; 23106 Ya esta registrado en la DB
2024-12-26 21:17:16; 34459 Ya esta registrado en la DB
2024-12-26 21:17:16; 34456 Ya esta registrado en la DB
2024-12-26 21:17:33; Dam 3329 aun no tiene CANAL
2024-12-26 21:17:34; 51839 Ya esta registrado en la DB
2024-12-26 21:17:34; 53025 Ya esta registrado en la DB
2024-12-26 21:17:41; se cerro la pagina de SUNAT con éxito
2024-12-26 21:17:46; No se pudo encontrar datos a procesar
