2024-12-26 10.14.35; Inicio de Ejecución BotUpdateCanal
2024-12-26 10:15:04; El iturriapp no esta pidiendo cambio de contraseña
2024-12-26 10:15:34; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-12-26 10:15:35; Procesando las Dams e ingresar a la web sunat
2024-12-26 10:16:33; Dam 23100 aun no tiene CANAL
2024-12-26 10:16:51; Dam 3329 aun no tiene CANAL
2024-12-26 10:16:52; 52259 Ya esta registrado en la DB
2024-12-26 10:16:52; 34456 Ya esta registrado en la DB
2024-12-26 10:16:52; 34459 Ya esta registrado en la DB
2024-12-26 10:16:52; 23077 Ya esta registrado en la DB
2024-12-26 10:16:52; 34676 Ya esta registrado en la DB
2024-12-26 10:16:52; 9204 Ya esta registrado en la DB
2024-12-26 10:17:09; Dam 23106 aun no tiene CANAL
2024-12-26 10:17:27; Dam 23103 aun no tiene CANAL
2024-12-26 10:17:44; Dam 23104 aun no tiene CANAL
2024-12-26 10:17:45; 22810 Ya esta registrado en la DB
2024-12-26 10:17:45; 35161 Ya esta registrado en la DB
2024-12-26 10:17:45; 9207 Ya esta registrado en la DB
2024-12-26 10:17:45; 9206 Ya esta registrado en la DB
2024-12-26 10:17:45; 35152 Ya esta registrado en la DB
2024-12-26 10:18:02; Dam 23192 aun no tiene CANAL
2024-12-26 10:18:03; 23190 Ya esta registrado en la DB
2024-12-26 10:18:03; 23271 Ya esta registrado en la DB
2024-12-26 10:18:03; 23361 Ya esta registrado en la DB
2024-12-26 10:18:03; 52845 Ya esta registrado en la DB
2024-12-26 10:18:19; Dam 53025 aun no tiene CANAL
2024-12-26 10:18:20; 53557 Ya esta registrado en la DB
2024-12-26 10:18:21; 51839 Ya esta registrado en la DB
2024-12-26 10:18:28; se cerro la pagina de SUNAT con éxito
2024-12-26 10:18:37; No se pudo encontrar datos a procesar
