2024-12-21 11.25.33; Inicio de Ejecución BotUpdateCanal
2024-12-21 11:26:17; El iturriapp no esta pidiendo cambio de contraseña
2024-12-21 11:26:47; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-12-21 11:26:50; Procesando las Dams e ingresar a la web sunat
2024-12-21 11:27:34; 51880 Ya esta registrado en la DB
2024-12-21 11:27:34; 51887 Ya esta registrado en la DB
2024-12-21 11:27:34; 51881 Ya esta registrado en la DB
2024-12-21 11:27:34; 51892 Ya esta registrado en la DB
2024-12-21 11:27:39; Datos aun Incorrectos o los parámetros son incorrectos 51891
2024-12-21 11:27:39; 22902 Ya esta registrado en la DB
2024-12-21 11:27:39; 33685 Ya esta registrado en la DB
2024-12-21 11:27:39; 9040 Ya esta registrado en la DB
2024-12-21 11:27:39; 9039 Ya esta registrado en la DB
2024-12-21 11:27:39; 9037 Ya esta registrado en la DB
2024-12-21 11:27:40; 33744 Ya esta registrado en la DB
2024-12-21 11:27:40; 22831 Ya esta registrado en la DB
2024-12-21 11:27:40; 22829 Ya esta registrado en la DB
2024-12-21 11:27:40; 33388 Ya esta registrado en la DB
2024-12-21 11:27:40; 33265 Ya esta registrado en la DB
2024-12-21 11:27:40; 33264 Ya esta registrado en la DB
2024-12-21 11:27:49; Datos aun Incorrectos o los parámetros son incorrectos 3716
2024-12-21 11:27:49; 22718 Ya esta registrado en la DB
2024-12-21 11:27:49; 22126 Ya esta registrado en la DB
2024-12-21 11:28:29; Dam 22723 aun no tiene CANAL
2024-12-21 11:28:30; 51890 Ya esta registrado en la DB
2024-12-21 11:28:30; 22949 Ya esta registrado en la DB
2024-12-21 11:28:30; 22905 Ya esta registrado en la DB
2024-12-21 11:28:30; 22900 Ya esta registrado en la DB
2024-12-21 11:28:30; 33922 Ya esta registrado en la DB
2024-12-21 11:28:30; 33920 Ya esta registrado en la DB
2024-12-21 11:28:31; 583 Ya esta registrado en la DB
2024-12-21 11:28:31; 3330 Ya esta registrado en la DB
2024-12-21 11:28:31; 22904 Ya esta registrado en la DB
2024-12-21 11:28:31; 584 Ya esta registrado en la DB
2024-12-21 11:28:36; Datos aun Incorrectos o los parámetros son incorrectos 22842
2024-12-21 11:28:36; 22841 Ya esta registrado en la DB
2024-12-21 11:28:36; 51277 Ya esta registrado en la DB
2024-12-21 11:28:36; 51849 Ya esta registrado en la DB
2024-12-21 11:28:36; 51949 Ya esta registrado en la DB
2024-12-21 11:28:36; 51452 Ya esta registrado en la DB
2024-12-21 11:28:37; 51554 Ya esta registrado en la DB
2024-12-21 11:28:37; 51503 Ya esta registrado en la DB
2024-12-21 11:28:37; 51501 Ya esta registrado en la DB
2024-12-21 11:28:37; 51722 Ya esta registrado en la DB
2024-12-21 11:28:37; 51962 Ya esta registrado en la DB
