2024-12-26 03.14.38; Inicio de Ejecución BotUpdateCanal
2024-12-26 03:15:06; El iturriapp no esta pidiendo cambio de contraseña
2024-12-26 03:15:36; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-12-26 03:15:37; Procesando las Dams e ingresar a la web sunat
2024-12-26 03:16:19; 23361 Ya esta registrado en la DB
2024-12-26 03:17:33; Dam 23192 aun no tiene CANAL
2024-12-26 03:17:50; Dam 23100 aun no tiene CANAL
2024-12-26 03:18:08; Dam 23104 aun no tiene CANAL
2024-12-26 03:18:25; Dam 23103 aun no tiene CANAL
2024-12-26 03:18:43; Dam 23106 aun no tiene CANAL
2024-12-26 03:19:01; Dam 3329 aun no tiene CANAL
2024-12-26 03:19:18; Dam 53025 aun no tiene CANAL
2024-12-26 03:19:27; se cerro la pagina de SUNAT con éxito
2024-12-26 03:20:02; El iturriapp no esta pidiendo cambio de contraseña
2024-12-26 03:21:29; se encontró el archivo reporte en C:/BOT-LIQUIDACION/BotUpdateCanal/Recursos/ExcelconDatos
2024-12-26 03:21:36; Se envió el correo con éxito
2024-12-26 03:21:41;  Archivo REPORTE_RCE_ENVIADOS 25-11-2024 al 25-12-2024 (1)_20241226_0321.xlsx se ha validado como completado y se
ha movido a la ruta  C:/BOT-LIQUIDACION/BotUpdateCanal/Recursos/Archivos Procesados
2024-12-26 03:21:41; Fin del robot  BotUpdateCanal
